Date : 2022-01-18 20:20:19
Directory : /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code
Total : 80 files,  3420 codes, 44 comments, 207 blanks, all 3671 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/Expressions                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| src/Hooks                                                                                                              |          2 |         55 |          0 |         12 |         67 |
| src/Stores                                                                                                             |          2 |         85 |          0 |         14 |         99 |
| src/Toolbar                                                                                                            |          4 |        148 |          6 |         12 |        166 |
| src/Utils                                                                                                              |          1 |          8 |          0 |          1 |          9 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/.eslintrc.js                                             | JavaScript         |         24 |          0 |          1 |         25 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/README.md                                                | Markdown           |         40 |          0 |         37 |         77 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/global.d.ts                                              | TypeScript         |         29 |          4 |          6 |         39 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/index.html                                               | HTML               |         13 |          0 |          1 |         14 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/package-lock.json                                        | JSON               |      1,786 |          0 |          1 |      1,787 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/package.json                                             | JSON               |         29 |          0 |          1 |         30 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/prettier.config.js                                       | JavaScript         |         11 |          0 |          1 |         12 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Button/index.tsx                 | TypeScript React   |         13 |          0 |          2 |         15 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Input/index.tsx                  | TypeScript React   |         15 |          0 |          1 |         16 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationForm/index.tsx        | TypeScript React   |         36 |          1 |          3 |         40 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationForm/style.module.css | CSS                |          3 |          0 |          1 |          4 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationForm/types.ts         | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/Filter.tsx      | TypeScript React   |         13 |          0 |          1 |         14 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/Table.tsx       | TypeScript React   |         20 |          0 |          2 |         22 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/index.tsx       | TypeScript React   |         13 |          0 |          2 |         15 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/types.ts        | TypeScript         |          5 |          0 |          0 |          5 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Number/index.tsx                 | TypeScript React   |         15 |          0 |          3 |         18 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/ComponentSelection.tsx    | TypeScript React   |         66 |          0 |          5 |         71 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/DisabledInput.tsx         | TypeScript React   |         12 |          0 |          2 |         14 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/LabelColInput.tsx         | TypeScript React   |         10 |          0 |          2 |         12 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/LabelInput.tsx            | TypeScript React   |          9 |          0 |          2 |         11 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/MaxInput.tsx              | TypeScript React   |         10 |          0 |          2 |         12 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/MinInput.tsx              | TypeScript React   |         10 |          0 |          2 |         12 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/RequiredInput.tsx         | TypeScript React   |         12 |          0 |          2 |         14 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/TypeInput.tsx             | TypeScript React   |          9 |          0 |          2 |         11 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/UUIDInput.tsx             | TypeScript React   |          9 |          0 |          2 |         11 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/index.tsx                 | TypeScript React   |         17 |          0 |          1 |         18 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/style.module.css          | CSS                |          4 |          0 |          1 |          5 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Select/OptionsConfig.tsx         | TypeScript React   |         56 |          0 |          3 |         59 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Select/index.tsx                 | TypeScript React   |         20 |          0 |          1 |         21 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Select/types.ts                  | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Textarea/index.tsx               | TypeScript React   |         15 |          0 |          1 |         16 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/consts.ts                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/index.tsx                        | TypeScript React   |         52 |          0 |          4 |         56 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/style.module.css                 | CSS                |          4 |          0 |          0 |          4 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/types.ts                         | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/useRenderConfig.tsx              | TypeScript React   |         31 |          0 |          1 |         32 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComposeOperator/Components/IntegrationForm.tsx       | TypeScript React   |         18 |          0 |          3 |         21 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComposeOperator/consts.ts                            | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComposeOperator/index.tsx                            | TypeScript React   |          7 |         12 |          2 |         21 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComposeOperator/types.ts                             | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/BaseForm/index.tsx                   | TypeScript React   |         18 |          0 |          2 |         20 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Button/index.tsx                     | TypeScript React   |          6 |          0 |          2 |          8 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Container/index.tsx                  | TypeScript React   |         16 |          0 |          2 |         18 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Container/types.ts                   | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Input/index.tsx                      | TypeScript React   |         41 |          0 |          2 |         43 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Input/style.module.css               | CSS                |          3 |          0 |          0 |          3 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/IntegrationForm/index.tsx            | TypeScript React   |         37 |          0 |          2 |         39 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/IntegrationForm/style.module.css     | CSS                |         15 |          0 |          2 |         17 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/IntegrationTable/Filter.tsx          | TypeScript React   |          0 |          0 |          1 |          1 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/IntegrationTable/index.tsx           | TypeScript React   |          0 |          0 |          1 |          1 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Number/index.tsx                     | TypeScript React   |         41 |          0 |          3 |         44 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Select/index.tsx                     | TypeScript React   |         34 |          0 |          2 |         36 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/Textarea/index.tsx                   | TypeScript React   |         40 |          0 |          2 |         42 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/index.tsx                            | TypeScript React   |         16 |         14 |          2 |         32 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/style.module.css                     | CSS                |          3 |          0 |          0 |          3 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/useRegisterPreviewComponents.ts      | TypeScript         |         45 |          0 |          2 |         47 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Display/Preview/useRenderPreviewNode.tsx             | TypeScript React   |         26 |          0 |          3 |         29 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/DragUtils/index.ts                                   | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Expressions/index.ts                                 | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Hooks/useAddComponent.ts                             | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Hooks/useComponents.ts                               | TypeScript         |         54 |          0 |         11 |         65 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Stores/index.ts                                      | TypeScript         |         48 |          0 |          6 |         54 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Stores/types.ts                                      | TypeScript         |         37 |          0 |          8 |         45 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Toolbar/consts.ts                                    | TypeScript         |        107 |          6 |          7 |        120 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Toolbar/index.tsx                                    | TypeScript React   |         29 |          0 |          2 |         31 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Toolbar/style.module.css                             | CSS                |          7 |          0 |          1 |          8 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Toolbar/types.ts                                     | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Utils/index.ts                                       | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/consts.ts                                            | TypeScript         |         56 |          0 |          3 |         59 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/index.module.css                                     | CSS                |          4 |          0 |          0 |          4 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/logo.svg                                             | XML                |          1 |          0 |          0 |          1 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/main.tsx                                             | TypeScript React   |         68 |          0 |          4 |         72 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/reportWebVitals.js                                   | JavaScript         |         12 |          0 |          2 |         14 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/setupTests.js                                        | JavaScript         |          1 |          4 |          1 |          6 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/types.ts                                             | TypeScript         |         72 |          1 |         14 |         87 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/tsconfig.json                                            | JSON               |         20 |          0 |          1 |         21 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/vite.config.ts                                           | TypeScript         |          5 |          1 |          2 |          8 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/webpack.config.js                                        | JavaScript         |         73 |          1 |          0 |         74 |
| /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/workspace.code-workspace                                 | JSON with Comments |          8 |          0 |          0 |          8 |
| Total                                                                                                                  |                    |      3,420 |         44 |        207 |      3,671 |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
